timestamp,sweep,model,harness,prompt,max_tokens,kv_mode,sink_tokens,simd_matmul,fused_kv_min,block_len,accept_mode,temp,ddtree,prefill_s,decode_tps,total_tokens,accept_rate,extra
2026-05-24T21:44:16Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,256,session-default,-,-,-,8,greedy,0.0,off,24.208,3.96,256,0.018,
2026-05-24T21:47:10Z,full,Qwen3.6-27B-MTPLX-Optimized-Speed,bench_mtplx,long,256,session-default,-,-,-,8,speculative,0.7,off,23.355,4.09,256,0.018,
2026-05-24T21:47:19Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,short,64,unset,-,-,-,draft,rejection,0.0,on,1.076,69.58,64,0.324,avg_block_len=3.89;adaptive=1/25/1;speedup=0.60x
2026-05-24T21:47:29Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,short,64,unset,-,-,-,draft,rejection,0.7,off,1.117,70.39,64,0.288,avg_block_len=4.21;adaptive=2/25/1;speedup=0.55x
2026-05-24T21:47:37Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,short,64,unset,-,-,-,draft,rejection,0.7,on,1.074,69.97,64,0.288,avg_block_len=4.21;adaptive=2/25/1;speedup=0.57x
2026-05-24T21:48:00Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,short,256,unset,-,-,-,draft,rejection,0.0,off,1.084,69.68,256,0.372,avg_block_len=3.82;adaptive=3/96/6;speedup=0.66x
2026-05-24T21:48:22Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,short,256,unset,-,-,-,draft,rejection,0.0,on,1.090,69.94,256,0.372,avg_block_len=3.82;adaptive=3/96/6;speedup=0.66x
2026-05-24T21:48:44Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,short,256,unset,-,-,-,draft,rejection,0.7,off,1.071,69.44,256,0.444,avg_block_len=3.90;adaptive=2/86/5;speedup=0.74x
2026-05-24T21:49:07Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,short,256,unset,-,-,-,draft,rejection,0.7,on,1.074,70.20,256,0.330,avg_block_len=3.72;adaptive=1/107/6;speedup=0.62x
2026-05-24T21:49:33Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,long,64,unset,-,-,-,draft,rejection,0.0,off,7.098,67.16,64,1.000,avg_block_len=14.50;adaptive=4/0/0;speedup=1.68x
2026-05-24T21:49:58Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,long,64,unset,-,-,-,draft,rejection,0.0,on,7.222,66.85,64,1.000,avg_block_len=14.50;adaptive=4/0/0;speedup=1.66x
2026-05-24T21:50:25Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,long,64,unset,-,-,-,draft,rejection,0.7,off,7.246,66.15,64,1.000,avg_block_len=14.50;adaptive=4/0/0;speedup=1.69x
2026-05-24T21:50:51Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,long,64,unset,-,-,-,draft,rejection,0.7,on,7.240,66.53,64,1.000,avg_block_len=14.50;adaptive=4/0/0;speedup=1.68x
2026-05-24T21:51:26Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,long,256,unset,-,-,-,draft,rejection,0.0,off,7.296,67.56,256,1.000,avg_block_len=14.88;adaptive=16/0/0;speedup=1.96x
2026-05-24T21:52:01Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,long,256,unset,-,-,-,draft,rejection,0.0,on,7.173,66.25,256,1.000,avg_block_len=14.88;adaptive=16/0/0;speedup=1.94x
2026-05-24T21:52:36Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,long,256,unset,-,-,-,draft,rejection,0.7,off,7.290,67.19,256,1.000,avg_block_len=14.88;adaptive=16/0/0;speedup=1.92x
2026-05-24T21:53:11Z,full,Qwen3.6-35B-A3B-4bit,bench_dflash,long,256,unset,-,-,-,draft,rejection,0.7,on,7.190,67.09,256,1.000,avg_block_len=14.88;adaptive=16/0/0;speedup=1.92x
2026-05-24T21:54:15Z,full,gemma-4-26B-A4B-it,bench_dflash,short,64,unset,-,-,-,draft,rejection,0.0,on,0.883,3.44,63,0.089,avg_block_len=1.38
2026-05-24T21:55:17Z,full,gemma-4-26B-A4B-it,bench_dflash,short,64,unset,-,-,-,draft,rejection,0.7,off,0.787,2.85,64,0.112,avg_block_len=4.02
2026-05-24T21:56:23Z,full,gemma-4-26B-A4B-it,bench_dflash,short,64,TURBO_KV,-,-,-,draft,rejection,0.7,off,0.744,2.97,64,0.112,avg_block_len=4.02;adaptive=2/38/2;kv_backend=turboquant
2026-05-24T21:57:09Z,full,gemma-4-26B-A4B-it,bench_dflash,short,64,unset,-,-,-,draft,rejection,0.7,on,0.869,2.50,63,0.035,avg_block_len=0.55
2026-05-24T22:00:16Z,full,gemma-4-26B-A4B-it,bench_dflash,short,256,unset,-,-,-,draft,rejection,0.0,off,0.710,3.02,256,0.115,avg_block_len=4.26
2026-05-24T22:03:51Z,full,gemma-4-26B-A4B-it,bench_dflash,short,256,TURBO_KV,-,-,-,draft,rejection,0.0,off,0.746,2.67,256,0.115,avg_block_len=4.26;adaptive=9/152/9;kv_backend=turboquant
2026-05-24T22:06:29Z,full,gemma-4-26B-A4B-it,bench_dflash,short,256,unset,-,-,-,draft,rejection,0.0,on,0.890,3.78,255,0.115,avg_block_len=1.82
